quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
4,65.0,65.0,3.0,3.0,3.14
4,60.0,60.0,2.0,2.0,3.9
4,64.0,64.0,3.0,4.0,3.49
4,80.0,80.0,4.0,5.0,4.0
4,80.0,80.0,3.0,3.0,4.1
4,70.0,70.0,2.0,2.0,3.8
4,70.0,70.0,4.0,5.0,3.9
4,70.0,70.0,4.0,3.0,4.3
4,70.0,70.0,4.0,5.0,3.9
4,80.0,80.0,5.0,5.0,4.9
4,42.0,42.0,3.0,4.0,2.8
4,81.0,81.0,5.0,4.0,5.1
4,80.0,80.0,2.0,2.0,5.5
4,80.0,80.0,2.0,2.0,5.0
4,77.0,77.0,2.0,2.0,4.1
4,92.0,92.0,2.0,2.0,6.2
4,60.0,60.0,2.0,1.0,3.4
4,80.0,80.0,2.0,2.0,5.4
4,80.0,80.0,2.0,2.0,5.0
4,92.0,92.0,2.0,2.0,6.2
4,80.0,80.0,2.0,2.0,5.0
4,80.0,80.0,2.0,2.0,5.0
4,117.0,117.0,3.0,2.0,6.5
4,86.0,86.0,2.0,2.0,8.2
4,117.0,117.0,3.0,2.0,6.6
4,77.0,77.0,2.0,2.0,4.1
4,80.0,80.0,2.0,2.0,4.4
4,80.0,80.0,2.0,2.0,5.4
4,117.0,117.0,3.0,2.0,7.5
4,80.0,80.0,2.0,2.0,5.0
4,133.0,133.0,3.0,2.0,9.3
4,117.0,117.0,3.0,2.0,7.5
4,56.0,56.0,1.0,1.0,4.1
4,70.0,70.0,2.0,1.0,4.6
